id	name	type	parentshortcut	opshortcut	path	relPath	parentPath	wirePath	depth	tags	isCOMP	nodeX	nodeY	nodeWidth	nodeHeight	dockId	recursiveChildren
9846	local	baseCOMP			/local	local	/		1		1	-120	-110	160	130	-1	54
9847	maps	baseCOMP			/local/maps	local/maps	/local		2		1	330	-235	160	130	-1	5
9848	master	baseCOMP			/local/maps/master	local/maps/master	/local/maps		3		1	290	205	160	130	-1	0
9849	select1	selectDAT			/local/maps/select1	local/maps/select1			3		0	-235	205	130	90	-1	0
9851	replicator1	replicatorCOMP			/local/maps/replicator1	local/maps/replicator1	/local/maps		3		1	90	205	160	130	-1	0
9852	replicator1_callbacks	textDAT			/local/maps/replicator1_callbacks	local/maps/replicator1_callbacks			3		0	90	45	160	130	9851	0
9853	midi	baseCOMP			/local/midi	local/midi	/local		2		1	130	-235	160	130	-1	19
31451	device	tableDAT			/local/midi/device	local/midi/device			3		0	372	-67	644	126	-1	0
31452	template	baseCOMP			/local/midi/template	local/midi/template	/local/midi		3		1	390	115	160	130	-1	14
31454	text1	textTOP			/local/midi/template/text1	local/midi/template/text1			4		0	65	33	130	67	-1	0
31455	buttons	tableDAT			/local/midi/template/buttons	local/midi/template/buttons			4		0	415	245	130	90	-1	0
31456	sliders	tableDAT			/local/midi/template/sliders	local/midi/template/sliders			4		0	235	245	130	90	-1	0
31457	attributes	tableDAT			/local/midi/template/attributes	local/midi/template/attributes			4		0	65	245	130	90	-1	0
31458	mapmaster1	baseCOMP			/local/midi/template/mapmaster1	local/midi/template/mapmaster1	/local/midi/template		4		1	600	65	160	130	-1	8
31461	midiout	midioutCHOP			/local/midi/template/mapmaster1/midiout	local/midi/template/mapmaster1/midiout			5		0	655	-55	130	90	-1	0
31463	chopexec1	chopexecuteDAT			/local/midi/template/mapmaster1/chopexec1	local/midi/template/mapmaster1/chopexec1			5		0	485	-55	130	90	-1	0
31464	midiinmap	midiinmapCHOP			/local/midi/template/mapmaster1/midiinmap	local/midi/template/mapmaster1/midiinmap			5		0	115	70	130	90	-1	0
31465	collect_buttons	constantCHOP			/local/midi/template/mapmaster1/collect_buttons	local/midi/template/mapmaster1/collect_buttons			5		0	115	-165	130	90	-1	0
31466	collect_sliders	constantCHOP			/local/midi/template/mapmaster1/collect_sliders	local/midi/template/mapmaster1/collect_sliders			5		0	115	-55	130	90	-1	0
31467	midi_inputs	tableDAT			/local/midi/midi_inputs	local/midi/midi_inputs			3		0	265	-205	130	90	-1	0
31468	userdevices	baseCOMP			/local/midi/userdevices	local/midi/userdevices	/local/midi		3		1	880	115	160	130	-1	0
31469	midi_outputs	tableDAT			/local/midi/midi_outputs	local/midi/midi_outputs			3		0	115	-205	130	90	-1	0
9854	time	timeCOMP			/local/time	local/time	/local		2		1	530	-235	160	130	-1	23
22551	rate	constantCHOP			/local/time/rate	local/time/rate			3		0	-675	485	130	90	-1	0
22555	limit	tableDAT			/local/time/limit	local/time/limit			3		0	-535	345	130	90	-1	0
22557	time1	timelineCHOP			/local/time/time1	local/time/time1			3		0	-1135	835	130	90	-1	0
22561	ableton	selectDAT			/local/time/ableton	local/time/ableton			3		0	-579	1021	122	78	-1	0
22562	getscrub	selectCHOP			/local/time/getscrub	local/time/getscrub			3		0	-185	645	130	90	-1	0
22565	get_state	constantCHOP			/local/time/get_state	local/time/get_state			3		0	-535	715	130	90	-1	0
22569	set_state	tableDAT			/local/time/set_state	local/time/set_state			3		0	-575	1165	130	90	-1	0
22571	properties	tableDAT			/local/time/properties	local/time/properties			3		0	-535	245	130	90	-1	0
22573	forcecook_override	parameterexecuteDAT			/local/time/forcecook_override	local/time/forcecook_override			3		0	-535	145	130	90	-1	0
9855	shortcuts	fileinDAT			/local/shortcuts	local/shortcuts			2		0	390	45	130	90	-1	0
9857	master_beat	beatCHOP			/local/master_beat	local/master_beat			2		0	115	-80	130	90	-1	0
9858	set_variables	tableDAT			/local/set_variables	local/set_variables			2		0	90	45	130	90	-1	0
9845	chopto1	choptoDAT			/chopto1	chopto1			1		0	65	45	130	90	-1	0
9844	opfind1	opfindDAT			/opfind1	opfind1			1		0	265	20	130	90	-1	0
9843	perform	windowCOMP			/perform	perform	/		1		1	-120	105	160	130	-1	0
9343	project2	containerCOMP	Project		/project2	project2	/	project2	1		1	400	222	400	244	-1	499
9344	osc_in1	oscinDAT			/project2/osc_in1	project2/osc_in1			2		0	-560	145	130	90	-1	0
9345	osc_out1	oscoutDAT			/project2/osc_out1	project2/osc_out1			2		0	390	245	130	90	-1	0
9346	elec_tags	tableDAT			/project2/elec_tags	project2/elec_tags			2		0	-285	-705	130	90	-1	0
9347	elec_horas	tableDAT			/project2/elec_horas	project2/elec_horas			2		0	-285	145	130	90	-1	0
9348	boton_tags_0	buttonCOMP			/project2/boton_tags_0	project2/boton_tags_0	/project2	boton_tags_0	2		1	-70	-658	160	134	-1	5
9350	par1	parameterCHOP			/project2/boton_tags_0/par1	project2/boton_tags_0/par1			3		0	130	220	130	90	-1	0
